id,first_name,last_name,email,phone_number,home_store,password,api_token
24508039-a22e-481e-b306-0366ad14475e,Christopher,Arnold,christopher.arnold@fakecomcast.net,266-814-4580,065d7009-29f2-4366-a1fd-17a81e03e39b,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,A44VMQ2l
890520da-f6fb-4a4e-8649-e6604398705f,Shannon,Moore,shannon.moore@fakemichigan.edu,207-403-9848,88fe6c0e-baa2-484d-9c85-7a4c6a2dd352,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,28ah0Sa5
ad4558b4-ac46-40bb-b2aa-089fe04afca5,Andre,Palmer,andre.palmer@fakemichigan.edu,396-488-2813,2db29181-8028-456c-a9d5-fee21bfe4bbf,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,yp1P9FY0
e7573bf9-57a9-4fd2-8b56-76b9808afd57,Keith,Martinez,keith.martinez@fakeiu.edu,732-053-3299,67aeafd9-80f3-4f60-8f5c-141015c0e6ad,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,iOmVvd3Y
94c1b041-f166-44d0-92f6-e6fb583ca715,Frank,Donaldson,frank.donaldson@fakecomcast.net,734-666-2301,fb336946-11f6-42fb-bf95-9e86f06fd1cd,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,S072ETf0
51055e36-eb74-4300-b122-4eff15fa2d81,Pamela,Soto,pamela.soto@fakemichigan.edu,144-256-9958,21f7c4e9-c959-4db7-ae98-36b59b254aa0,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,LJlJbKn5
40815201-2fbe-47b4-a033-6556bdbbf734,حارث,حنبولي,حارث.حنبولي@fakemsu.edu,335-889-6540,59e842d2-7d0a-4294-a7f2-6e7970c029ab,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,gTSbn3F7
78fa29e8-1f82-48bb-b3d4-709c46240960,Piergiuseppe,آل سعود,piergiuseppe.آل سعود@fakecomcast.net,156-958-4084,d8b59d2b-c059-45a8-b8f9-2d52507d1589,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,TxsWcnpi
7aa7d0ae-be89-4e43-81ee-afbace362328,Mary,Eaton,mary.eaton@fakecomcast.net,100-589-3792,ce78e8fe-e5d1-4400-866e-8ac5718940ab,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,ndmA3Tmw
f41d7be2-2b01-4feb-a513-ce025f368c95,Rémy,蒋,rémy.蒋@fakeiu.edu,049-375-5450,f1428978-c54b-4b20-a604-907e0000a2fa,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,aqqTiYtj
a4ba98be-b27b-4989-aa06-03379de92ff7,Jack,Estrada,jack.estrada@fakegmail.com,596-032-1298,412b7fb6-65c2-462d-af60-bfc34d1fe80b,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,unbkSYPb
56b2506d-bbe4-41fb-a51a-4bdaefd16d02,Jasmine,Reynolds,jasmine.reynolds@fakeaol.com,443-401-0047,e4f0e1c6-701a-46d4-aa5c-942f6257eddd,$2b$12$XAkT.Vgmgm5PGVan2ehrtueWw2xYsA1NctA17VTLxkQqOYQcvuOJG,ikR5GyYn
